受访编号,数据性质,样本组,每周时长,平台数,切换频率,手机,C4_换平台重新配对,C4_按键符号不一致,C4_一柄只能伺候一平台,C4_摇杆漂移,C4_按键失灵,C4_无线断连,C4_续航不足,C4_改键软件难用,D1a_兴趣,D1b_最吸引,D1c_怀疑点,D2_599,D2_639,D2_699,D2_799,D2_899,E3_重量上限,F1_NFC
S019,模拟,A 主机为主,14 小时以上,2 个,每周,Android,5,5,4,3,3,5,3,3,不太感兴趣,不用重新改键,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,200g 以下,从不用
S020,模拟,A 主机为主,3–7 小时,3 个,每天,iPhone 15 及以后,5,4,5,5,4,3,3,1,说不清,一键切换,手感需实机验证,可能不买,可能不买,可能不买,一定不买,一定不买,250–300g,偶尔
S021,模拟,A 主机为主,3–7 小时,4 个及以上,每月,iPhone 14 及以下,3,5,4,5,3,5,4,2,比较感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,可能买,说不清,200–250g,偶尔
S022,模拟,A 主机为主,7–14 小时,4 个及以上,几乎不,iPhone 15 及以后,3,5,3,4,3,3,4,1,比较感兴趣,充电底座,续航,一定买,一定买,一定买,一定买,一定买,250–300g,偶尔
S023,模拟,A 主机为主,7–14 小时,4 个及以上,每周,Android,5,5,3,2,5,5,2,5,不太感兴趣,都不吸引,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,200g 以下,偶尔
S024,模拟,A 主机为主,7–14 小时,1 个,每天,Android,5,4,4,3,4,3,5,3,说不清,不用重新改键,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S025,模拟,A 主机为主,7–14 小时,4 个及以上,每周,其他,5,3,2,5,3,4,5,4,非常感兴趣,一键切换,品控与耐用,一定买,一定买,一定买,可能买,可能买,200g 以下,偶尔
S026,模拟,A 主机为主,14 小时以上,3 个,每周,iPhone 14 及以下,4,3,5,4,5,5,5,4,说不清,可更换键帽布局,授权与兼容性,一定买,一定买,可能买,可能买,可能买,250–300g,偶尔
S027,模拟,A 主机为主,7–14 小时,4 个及以上,每天,iPhone 14 及以下,5,3,5,4,3,3,4,2,非常感兴趣,一键切换,手感需实机验证,一定买,一定买,可能买,可能买,可能买,250–300g,偶尔
S028,模拟,A 主机为主,3–7 小时,2 个,每天,Android,5,3,3,5,4,3,3,4,比较感兴趣,一键切换,授权与兼容性,一定买,一定买,一定买,一定买,一定买,300g 以上,偶尔
S029,模拟,A 主机为主,7–14 小时,3 个,每天多次,Android,3,2,4,3,3,3,4,4,说不清,一键切换,授权与兼容性,可能买,可能买,说不清,说不清,可能不买,200–250g,经常
S030,模拟,A 主机为主,7–14 小时,2 个,每天,iPhone 15 及以后,3,3,4,4,5,4,2,5,非常感兴趣,不用重新改键,无明显怀疑,一定买,一定买,一定买,一定买,一定买,300g 以上,没有 Switch
S031,模拟,A 主机为主,7–14 小时,2 个,每周,Android,3,3,4,3,3,3,3,3,说不清,三模连接,授权与兼容性,一定买,一定买,一定买,一定买,一定买,250–300g,经常
S032,模拟,A 主机为主,7–14 小时,4 个及以上,每天,iPhone 15 及以后,3,4,4,3,3,5,3,2,说不清,都不吸引,价格偏高,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S033,模拟,A 主机为主,7–14 小时,2 个,每周,iPhone 14 及以下,5,4,5,4,4,4,5,1,说不清,都不吸引,手感需实机验证,可能买,可能买,可能买,说不清,说不清,250–300g,没有 Switch
S034,模拟,A 主机为主,3–7 小时,3 个,每天,iPhone 15 及以后,4,3,4,5,4,3,2,2,说不清,充电底座,手感需实机验证,可能不买,一定不买,一定不买,一定不买,一定不买,250–300g,偶尔
S035,模拟,A 主机为主,14 小时以上,4 个及以上,每天多次,Android,5,2,4,4,2,4,3,3,非常感兴趣,可更换键帽布局,无明显怀疑,一定买,可能买,可能买,可能买,说不清,200–250g,偶尔
S036,模拟,A 主机为主,3–7 小时,3 个,每周,iPhone 14 及以下,4,2,2,4,5,3,5,3,不太感兴趣,一键切换,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,没有 Switch
S037,模拟,A 主机为主,14 小时以上,2 个,每周,iPhone 15 及以后,5,4,2,4,4,3,4,3,说不清,三模连接,价格偏高,可能不买,可能不买,可能不买,一定不买,一定不买,250–300g,没有 Switch
S038,模拟,A 主机为主,7–14 小时,1 个,每天,iPhone 15 及以后,5,5,5,5,5,2,3,4,说不清,一键切换,品控与耐用,一定买,一定买,一定买,一定买,可能买,200–250g,没有 Switch
S039,模拟,A 主机为主,3–7 小时,3 个,每月,Android,4,3,4,4,4,3,3,4,比较感兴趣,一键切换,无明显怀疑,可能不买,可能不买,一定不买,一定不买,一定不买,200–250g,偶尔
S040,模拟,A 主机为主,3–7 小时,3 个,每天多次,iPhone 15 及以后,5,3,5,4,5,4,4,4,不太感兴趣,不用重新改键,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,250–300g,没有 Switch
S041,模拟,A 主机为主,7–14 小时,3 个,每天,iPhone 15 及以后,5,3,3,5,4,4,4,3,比较感兴趣,三模连接,续航,可能买,可能买,说不清,说不清,可能不买,200g 以下,偶尔
S042,模拟,A 主机为主,7–14 小时,3 个,每周,iPhone 15 及以后,3,4,4,4,5,4,3,5,比较感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,一定买,200–250g,没有 Switch
S043,模拟,A 主机为主,7–14 小时,3 个,每月,iPhone 15 及以后,5,3,4,3,5,5,3,2,非常不感兴趣,充电底座,授权与兼容性,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S044,模拟,A 主机为主,3–7 小时,4 个及以上,每天多次,iPhone 15 及以后,4,3,4,4,3,5,3,2,非常不感兴趣,一键切换,授权与兼容性,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S045,模拟,A 主机为主,7–14 小时,2 个,每周,Android,4,3,5,4,5,5,4,2,比较感兴趣,不用重新改键,价格偏高,可能买,可能买,说不清,说不清,可能不买,200–250g,从不用
S046,模拟,A 主机为主,14 小时以上,3 个,每周,iPhone 15 及以后,4,3,3,4,3,4,4,3,说不清,可更换键帽布局,品控与耐用,可能买,说不清,说不清,可能不买,可能不买,200–250g,经常
S047,模拟,A 主机为主,14 小时以上,3 个,每天多次,iPhone 15 及以后,4,4,4,4,3,4,5,5,不太感兴趣,一键切换,价格偏高,可能不买,可能不买,可能不买,一定不买,一定不买,200–250g,从不用
S048,模拟,A 主机为主,7–14 小时,3 个,每月,iPhone 14 及以下,3,3,4,5,4,3,5,3,说不清,不用重新改键,价格偏高,可能买,可能买,可能买,说不清,说不清,250–300g,偶尔
S049,模拟,A 主机为主,3–7 小时,1 个,每月,iPhone 15 及以后,4,4,4,4,4,4,3,3,说不清,一键切换,品控与耐用,可能不买,可能不买,可能不买,一定不买,一定不买,250–300g,经常
S050,模拟,A 主机为主,7–14 小时,3 个,每天,iPhone 15 及以后,2,4,3,4,4,3,2,3,非常不感兴趣,都不吸引,续航,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S051,模拟,A 主机为主,7–14 小时,3 个,每周,iPhone 14 及以下,2,4,3,4,5,3,4,3,说不清,充电底座,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S052,模拟,A 主机为主,3–7 小时,2 个,每周,Android,3,3,4,4,4,4,4,3,说不清,一键切换,价格偏高,可能不买,可能不买,一定不买,一定不买,一定不买,250–300g,偶尔
S053,模拟,A 主机为主,7–14 小时,2 个,每天多次,iPhone 14 及以下,2,4,2,4,3,4,3,1,非常感兴趣,三模连接,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S054,模拟,A 主机为主,3–7 小时,2 个,每天多次,Android,5,4,2,4,4,1,2,3,比较感兴趣,三模连接,授权与兼容性,一定买,一定买,一定买,一定买,可能买,200–250g,没有 Switch
S055,模拟,A 主机为主,7–14 小时,1 个,每天,Android,4,3,4,4,3,3,5,5,说不清,不用重新改键,续航,可能买,说不清,可能不买,可能不买,可能不买,250–300g,经常
S056,模拟,A 主机为主,14 小时以上,1 个,每周,iPhone 15 及以后,3,2,2,3,4,5,5,4,说不清,不用重新改键,授权与兼容性,可能买,说不清,说不清,可能不买,可能不买,200–250g,从不用
S057,模拟,A 主机为主,3–7 小时,1 个,几乎不,iPhone 14 及以下,5,4,3,2,5,4,3,2,说不清,三模连接,品控与耐用,可能买,可能买,说不清,说不清,可能不买,200–250g,偶尔
S058,模拟,A 主机为主,7–14 小时,2 个,几乎不,Android,5,3,4,3,3,3,4,2,非常不感兴趣,一键切换,品控与耐用,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S059,模拟,A 主机为主,7–14 小时,3 个,每天,iPhone 14 及以下,5,3,4,4,3,3,4,4,比较感兴趣,一键切换,无明显怀疑,可能买,可能买,可能买,可能买,说不清,200g 以下,偶尔
S060,模拟,A 主机为主,7–14 小时,1 个,每天,Android,4,3,4,3,3,5,3,3,不太感兴趣,三模连接,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,经常
S061,模拟,A 主机为主,3–7 小时,1 个,每周,iPhone 14 及以下,5,2,3,5,5,3,3,1,非常感兴趣,一键切换,授权与兼容性,一定买,一定买,一定买,一定买,可能买,250–300g,偶尔
S062,模拟,A 主机为主,3–7 小时,4 个及以上,几乎不,iPhone 15 及以后,3,4,5,4,5,5,3,1,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,一定买,250–300g,偶尔
S063,模拟,A 主机为主,7–14 小时,2 个,每月,iPhone 15 及以后,5,2,4,3,5,2,3,3,不太感兴趣,三模连接,手感需实机验证,可能买,说不清,说不清,可能不买,可能不买,200–250g,偶尔
S064,模拟,A 主机为主,14 小时以上,2 个,每月,Android,3,5,4,3,4,4,4,2,说不清,一键切换,品控与耐用,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,从不用
S065,模拟,A 主机为主,7–14 小时,3 个,每周,iPhone 14 及以下,3,3,2,5,5,3,5,2,非常不感兴趣,一键切换,品控与耐用,可能不买,一定不买,一定不买,一定不买,一定不买,250–300g,经常
S066,模拟,A 主机为主,7–14 小时,3 个,每天多次,其他,4,3,4,5,5,4,4,4,非常不感兴趣,可更换键帽布局,授权与兼容性,可能买,说不清,说不清,可能不买,可能不买,250–300g,偶尔
S067,模拟,A 主机为主,3–7 小时,1 个,每周,iPhone 15 及以后,4,3,2,5,4,4,4,3,说不清,一键切换,续航,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S068,模拟,A 主机为主,14 小时以上,3 个,每天多次,Android,3,5,3,3,5,4,4,3,说不清,一键切换,续航,可能买,可能买,说不清,可能不买,可能不买,250–300g,偶尔
S069,模拟,A 主机为主,7–14 小时,3 个,每周,Android,4,3,4,5,4,1,2,3,比较感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,250–300g,从不用
S070,模拟,A 主机为主,3–7 小时,4 个及以上,每周,iPhone 15 及以后,5,3,5,5,4,5,5,5,比较感兴趣,一键切换,无明显怀疑,一定买,一定买,可能买,可能买,可能买,200g 以下,没有 Switch
S071,模拟,A 主机为主,7–14 小时,4 个及以上,每月,其他,5,3,4,5,3,3,2,4,非常感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,可能买,说不清,无所谓,经常
S072,模拟,A 主机为主,7–14 小时,3 个,每月,iPhone 15 及以后,5,2,3,3,3,4,4,3,说不清,都不吸引,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S073,模拟,A 主机为主,14 小时以上,4 个及以上,每天多次,iPhone 14 及以下,4,4,3,5,4,5,5,2,不太感兴趣,一键切换,手感需实机验证,可能买,可能不买,可能不买,可能不买,可能不买,200g 以下,偶尔
S074,模拟,A 主机为主,7–14 小时,4 个及以上,每天多次,Android,5,4,4,4,4,5,4,3,比较感兴趣,不用重新改键,手感需实机验证,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S075,模拟,A 主机为主,3–7 小时,2 个,每周,其他,5,4,4,3,3,4,5,4,不太感兴趣,一键切换,授权与兼容性,可能不买,一定不买,一定不买,一定不买,一定不买,250–300g,偶尔
S076,模拟,A 主机为主,3–7 小时,2 个,每天多次,iPhone 15 及以后,5,4,3,3,4,4,3,4,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,一定买,一定买,300g 以上,偶尔
S077,模拟,A 主机为主,3–7 小时,4 个及以上,每天多次,Android,4,4,5,5,5,3,3,4,非常感兴趣,三模连接,品控与耐用,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,经常
S078,模拟,A 主机为主,7–14 小时,3 个,每周,iPhone 15 及以后,2,3,4,3,3,3,4,4,非常不感兴趣,充电底座,授权与兼容性,可能买,说不清,可能不买,可能不买,可能不买,200–250g,从不用
S079,模拟,A 主机为主,3–7 小时,2 个,每周,iPhone 15 及以后,3,3,5,4,2,4,4,3,非常感兴趣,都不吸引,价格偏高,一定买,一定买,一定买,一定买,一定买,300g 以上,从不用
S080,模拟,A 主机为主,3–7 小时,3 个,每月,Android,3,4,4,5,4,5,4,2,非常感兴趣,三模连接,价格偏高,一定买,一定买,一定买,一定买,一定买,200g 以下,没有 Switch
S081,模拟,A 主机为主,3–7 小时,3 个,每月,iPhone 15 及以后,5,3,3,2,5,3,1,4,说不清,不用重新改键,授权与兼容性,可能买,说不清,说不清,可能不买,可能不买,200–250g,没有 Switch
S082,模拟,A 主机为主,3–7 小时,2 个,每月,Android,4,3,3,3,5,5,3,5,比较感兴趣,都不吸引,授权与兼容性,一定买,一定买,一定买,一定买,一定买,250–300g,从不用
S083,模拟,A 主机为主,7–14 小时,3 个,每周,iPhone 15 及以后,3,5,4,3,4,5,4,3,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,可能买,可能买,250–300g,偶尔
S084,模拟,A 主机为主,14 小时以上,2 个,每天多次,iPhone 14 及以下,3,3,4,3,4,5,3,4,说不清,三模连接,价格偏高,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S085,模拟,A 主机为主,14 小时以上,2 个,几乎不,Android,4,5,4,5,5,4,3,2,非常感兴趣,一键切换,价格偏高,一定买,一定买,一定买,一定买,一定买,250–300g,从不用
S086,模拟,A 主机为主,3–7 小时,3 个,每周,Android,4,3,4,4,5,3,3,3,说不清,充电底座,授权与兼容性,可能买,说不清,说不清,可能不买,可能不买,250–300g,没有 Switch
S087,模拟,A 主机为主,7–14 小时,2 个,每月,iPhone 15 及以后,3,2,4,4,3,4,4,4,说不清,一键切换,续航,一定买,一定买,一定买,一定买,可能买,250–300g,偶尔
S088,模拟,A 主机为主,3–7 小时,2 个,每天多次,iPhone 15 及以后,2,3,3,4,4,4,4,2,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,一定买,可能买,300g 以上,从不用
S089,模拟,A 主机为主,3–7 小时,2 个,每天多次,iPhone 14 及以下,4,3,4,4,4,4,2,2,不太感兴趣,一键切换,品控与耐用,说不清,可能不买,可能不买,可能不买,可能不买,无所谓,偶尔
S090,模拟,A 主机为主,14 小时以上,1 个,每天,iPhone 14 及以下,4,5,4,4,4,2,4,4,不太感兴趣,充电底座,品控与耐用,可能不买,可能不买,一定不买,一定不买,一定不买,200–250g,经常
S091,模拟,B PC 为主,3–7 小时,3 个,每周,iPhone 15 及以后,4,3,5,5,5,4,3,2,非常感兴趣,一键切换,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,200–250g,从不用
S092,模拟,B PC 为主,7–14 小时,3 个,每月,Android,4,3,3,4,2,3,4,3,说不清,一键切换,无明显怀疑,可能买,说不清,可能不买,可能不买,可能不买,250–300g,从不用
S093,模拟,B PC 为主,7–14 小时,3 个,每周,iPhone 15 及以后,2,3,3,2,3,5,3,3,说不清,充电底座,价格偏高,可能不买,可能不买,可能不买,可能不买,一定不买,250–300g,没有 Switch
S094,模拟,B PC 为主,7–14 小时,2 个,每月,iPhone 15 及以后,5,5,4,4,5,4,4,4,不太感兴趣,可更换键帽布局,价格偏高,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,偶尔
S095,模拟,B PC 为主,7–14 小时,3 个,每周,iPhone 15 及以后,3,4,3,5,5,4,4,4,说不清,不用重新改键,价格偏高,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S096,模拟,B PC 为主,3–7 小时,2 个,每天多次,Android,4,2,3,3,3,5,3,4,说不清,一键切换,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,300g 以上,经常
S097,模拟,B PC 为主,7–14 小时,2 个,每月,iPhone 15 及以后,3,4,4,3,4,2,4,3,比较感兴趣,三模连接,价格偏高,可能买,可能买,可能买,可能买,说不清,250–300g,偶尔
S098,模拟,B PC 为主,14 小时以上,3 个,每周,iPhone 15 及以后,5,3,3,1,4,4,4,3,说不清,一键切换,价格偏高,可能买,可能买,说不清,说不清,可能不买,200g 以下,没有 Switch
S099,模拟,B PC 为主,3–7 小时,3 个,每天,Android,4,3,4,4,3,4,3,3,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,一定买,一定买,200–250g,偶尔
S100,模拟,B PC 为主,3–7 小时,2 个,每天,iPhone 14 及以下,5,3,5,2,4,4,2,2,说不清,一键切换,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200g 以下,从不用
S101,模拟,B PC 为主,7–14 小时,4 个及以上,每周,Android,5,4,4,4,5,4,4,2,说不清,三模连接,手感需实机验证,可能买,可能买,可能买,可能买,说不清,200–250g,从不用
S102,模拟,B PC 为主,7–14 小时,4 个及以上,几乎不,iPhone 15 及以后,4,3,3,4,3,5,5,2,说不清,可更换键帽布局,手感需实机验证,可能买,可能买,可能买,说不清,说不清,300g 以上,从不用
S103,模拟,B PC 为主,14 小时以上,3 个,每周,iPhone 15 及以后,3,4,3,5,5,4,4,3,比较感兴趣,三模连接,品控与耐用,可能不买,可能不买,可能不买,一定不买,一定不买,200–250g,从不用
S104,模拟,B PC 为主,3–7 小时,4 个及以上,每天,iPhone 15 及以后,5,4,2,4,3,3,3,3,比较感兴趣,一键切换,价格偏高,一定买,可能买,可能买,可能买,说不清,250–300g,没有 Switch
S105,模拟,B PC 为主,3–7 小时,3 个,每天,iPhone 14 及以下,4,5,3,4,4,2,3,2,不太感兴趣,一键切换,手感需实机验证,一定不买,一定不买,一定不买,一定不买,一定不买,250–300g,从不用
S106,模拟,B PC 为主,3–7 小时,2 个,每天,iPhone 14 及以下,5,2,3,2,4,3,4,2,非常感兴趣,一键切换,价格偏高,可能买,可能买,可能买,可能买,说不清,200–250g,偶尔
S107,模拟,B PC 为主,3–7 小时,2 个,每周,iPhone 15 及以后,4,5,3,4,5,5,4,4,说不清,一键切换,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,从不用
S108,模拟,B PC 为主,14 小时以上,2 个,每天,iPhone 15 及以后,4,4,2,5,4,4,5,2,非常不感兴趣,三模连接,品控与耐用,可能买,可能买,可能买,说不清,说不清,250–300g,经常
S109,模拟,B PC 为主,3–7 小时,3 个,每天,Android,5,5,2,5,4,4,3,4,不太感兴趣,三模连接,手感需实机验证,可能买,说不清,说不清,可能不买,可能不买,250–300g,从不用
S110,模拟,B PC 为主,7–14 小时,2 个,每天多次,iPhone 15 及以后,1,4,4,3,2,5,3,3,比较感兴趣,一键切换,手感需实机验证,一定买,可能买,可能买,可能买,可能买,200–250g,从不用
S111,模拟,B PC 为主,3–7 小时,3 个,每天多次,iPhone 14 及以下,5,4,3,4,5,5,3,4,比较感兴趣,一键切换,授权与兼容性,一定不买,一定不买,一定不买,一定不买,一定不买,250–300g,从不用
S112,模拟,B PC 为主,3–7 小时,2 个,每周,iPhone 15 及以后,4,4,4,3,4,4,3,4,比较感兴趣,都不吸引,手感需实机验证,可能不买,可能不买,可能不买,一定不买,一定不买,200–250g,从不用
S113,模拟,B PC 为主,3–7 小时,3 个,每周,Android,3,3,4,3,3,4,4,3,说不清,三模连接,品控与耐用,可能买,可能买,可能买,说不清,说不清,250–300g,没有 Switch
S114,模拟,B PC 为主,7–14 小时,2 个,几乎不,Android,5,5,5,3,5,4,5,3,不太感兴趣,都不吸引,授权与兼容性,可能买,说不清,说不清,可能不买,可能不买,250–300g,从不用
S115,模拟,B PC 为主,7–14 小时,2 个,每天,iPhone 14 及以下,4,4,3,4,3,4,4,3,非常感兴趣,不用重新改键,续航,可能买,可能买,可能买,可能买,说不清,200–250g,经常
S116,模拟,B PC 为主,7–14 小时,4 个及以上,每天,iPhone 15 及以后,5,5,2,4,2,5,4,2,说不清,充电底座,手感需实机验证,可能买,说不清,说不清,可能不买,可能不买,300g 以上,偶尔
S117,模拟,B PC 为主,7–14 小时,3 个,每天多次,Android,4,4,3,4,4,4,2,1,比较感兴趣,一键切换,无明显怀疑,一定买,一定买,一定买,一定买,一定买,250–300g,从不用
S118,模拟,B PC 为主,3–7 小时,3 个,每天多次,iPhone 15 及以后,5,3,4,3,5,4,5,4,不太感兴趣,三模连接,品控与耐用,可能买,可能买,可能买,说不清,说不清,200g 以下,从不用
S119,模拟,B PC 为主,3–7 小时,3 个,每天,iPhone 15 及以后,3,4,5,2,4,3,3,3,不太感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,可能不买,可能不买,250–300g,偶尔
S120,模拟,B PC 为主,3–7 小时,1 个,几乎不,iPhone 15 及以后,3,4,4,4,5,4,3,2,比较感兴趣,不用重新改键,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S121,模拟,B PC 为主,7–14 小时,3 个,每周,iPhone 14 及以下,4,2,4,4,5,3,5,3,说不清,一键切换,价格偏高,可能买,可能买,说不清,可能不买,可能不买,200–250g,没有 Switch
S122,模拟,B PC 为主,14 小时以上,2 个,每周,iPhone 14 及以下,3,5,5,5,4,4,3,2,比较感兴趣,一键切换,授权与兼容性,一定买,一定买,一定买,一定买,可能买,250–300g,从不用
S123,模拟,B PC 为主,3–7 小时,2 个,每天,iPhone 15 及以后,4,1,3,5,3,5,3,4,非常感兴趣,一键切换,品控与耐用,可能买,可能买,可能买,可能买,说不清,250–300g,从不用
S124,模拟,B PC 为主,7–14 小时,2 个,每周,iPhone 14 及以下,4,4,4,4,4,3,5,1,比较感兴趣,不用重新改键,价格偏高,可能买,可能买,说不清,说不清,可能不买,200g 以下,偶尔
S125,模拟,B PC 为主,3–7 小时,3 个,每天,Android,5,3,5,5,4,4,4,3,比较感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S126,模拟,B PC 为主,14 小时以上,2 个,每周,iPhone 15 及以后,5,4,5,5,1,4,4,3,不太感兴趣,都不吸引,价格偏高,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,经常
S127,模拟,B PC 为主,7–14 小时,3 个,每天多次,iPhone 15 及以后,5,3,1,3,4,4,2,4,非常感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,200–250g,偶尔
S128,模拟,B PC 为主,7–14 小时,3 个,几乎不,Android,4,4,5,3,4,4,4,2,非常感兴趣,可更换键帽布局,手感需实机验证,可能买,可能买,可能买,可能买,说不清,200–250g,从不用
S129,模拟,B PC 为主,7–14 小时,2 个,每周,iPhone 15 及以后,5,3,2,5,4,2,3,2,说不清,一键切换,手感需实机验证,可能买,可能买,可能买,说不清,说不清,250–300g,从不用
S130,模拟,B PC 为主,7–14 小时,4 个及以上,每天,iPhone 15 及以后,4,5,3,3,3,4,3,4,说不清,一键切换,品控与耐用,说不清,可能不买,可能不买,可能不买,一定不买,250–300g,经常
